x	y	new_x	new_y	pixel_x	pixel_y	selected
1	1	1.02	0.97	267.3	237.7	0
1	3	1.04	2.97	267.6	285.8	0
1	5	1.01	4.94	267	333.3	0
1	7	1.02	6.95	267.15	381.6	0
1	9	1.01	8.96	267.05	429.95	0
1	11	1.02	10.96	267.35	478.1	0
1	13	0.98	12.95	266.45	525.85	0
1	15	1	14.95	266.8	574.05	0
1	17	1	16.95	266.85	622.1	0
1	19	1.01	18.95	267.1	670.1	0
1	21	0.98	20.96	266.5	718.3	0
1	23	1	22.96	266.8	766.5	0
1	25	0.99	24.95	266.65	814.3	0
1	27	1.01	26.96	267.05	862.6	0
1	29	0.98	28.95	266.45	910.65	0
1	31	0.99	30.95	266.6	958.7	0
1	33	1	32.95	266.8	1006.8	0
1	35	1.01	34.95	266.95	1054.75	0
1	37	0.99	36.94	266.65	1102.75	0
1	39	0.99	38.95	266.7	1151	0
1	41	1	40.96	266.85	1199.25	0
1	43	1	42.95	266.9	1247.1	0
1	45	1	44.95	266.85	1295.3	0
1	47	0.99	46.95	266.6	1343.4	0
1	49	0.99	48.94	266.7	1391.2	0
1	51	1	50.94	266.8	1439.4	0
1	53	1	52.95	266.8	1487.55	0
1	55	0.98	54.95	266.3	1535.7	0
1	57	0.99	56.95	266.6	1583.85	0
1	59	1	58.96	266.8	1632	0
1	61	1.01	60.95	267.1	1680.1	0
1	63	0.98	62.95	266.4	1727.95	0
2	2	2.04	2	289.2	262.5	0
2	4	2.03	3.98	289.15	310.2	0
2	6	2.05	5.96	289.5	357.7	0
2	8	2.04	7.96	289.4	405.95	0
2	10	2.07	9.98	289.85	454.55	0
2	12	2.05	11.99	289.45	502.75	0
2	14	2.05	14	289.5	551.05	0
2	16	2.06	15.98	289.7	598.8	0
2	18	2.04	17.99	289.35	647.1	0
2	20	2.04	19.98	289.4	694.9	0
2	22	2.04	22	289.35	743.35	0
2	24	2.03	23.98	289.15	790.95	0
2	26	2.06	26	289.7	839.65	0
2	28	2.04	27.99	289.35	887.55	0
2	30	2.02	29.98	289	935.3	0
2	32	2.03	31.97	289.1	983.3	0
2	34	2.04	33.98	289.35	1031.4	0
2	36	2.06	35.98	289.8	1079.6	0
2	38	2.02	38	288.9	1128.15	0
2	40	2.03	39.99	289.15	1175.95	0
2	42	2.03	42	289.2	1224.2	0
2	44	2.04	44	289.25	1272.4	0
2	46	2	45.99	288.5	1320.25	0
2	48	2.02	48	288.85	1368.5	0
2	50	2.02	50	288.9	1416.65	0
2	52	2.05	51.99	289.5	1464.45	0
2	54	2	53.98	288.35	1512.4	0
2	56	2.02	55.99	288.9	1560.8	0
2	58	2.03	57.99	289.1	1608.8	0
2	60	2.01	59.99	288.75	1656.95	0
2	62	2	61.99	288.4	1705	0
3	1	3.03	0.99	310.6	238.35	0
3	3	3.04	2.98	310.85	286.2	0
3	5	3	4.98	310.1	334.1	0
3	7	3.04	6.95	310.95	381.7	0
3	9	3.03	8.97	310.7	430.2	0
3	11	3.05	10.98	311.2	478.5	0
3	13	3.03	12.99	310.7	526.9	0
3	15	3.06	15.01	311.25	575.3	0
3	17	3.04	16.98	310.9	622.8	0
3	19	3.05	18.97	311.15	670.5	0
3	21	3.02	20.99	310.5	719.2	0
3	23	3.06	22.98	311.3	766.9	0
3	25	3.05	24.97	311.1	814.9	0
3	27	3.04	26.97	311	863	0
3	29	3.01	28.98	310.15	911.3	0
3	31	3.02	30.97	310.45	959.2	0
3	33	3.05	32.98	311.05	1007.55	0
3	35	3.05	34.98	311.2	1055.55	0
3	37	3.03	37	310.8	1104.05	0
3	39	3.03	39	310.6	1152.1	0
3	41	3.04	41.02	310.9	1200.65	0
3	43	3.04	42.99	310.8	1248.2	0
3	45	3.03	45	310.65	1296.4	0
3	47	3.01	46.99	310.3	1344.4	0
3	49	3.02	48.99	310.5	1392.35	0
3	51	3.03	50.99	310.75	1440.45	0
3	53	3.02	52.99	310.55	1488.65	0
3	55	3	54.99	310.05	1536.55	0
3	57	3.01	56.98	310.2	1584.6	0
3	59	3.02	58.99	310.55	1632.9	0
3	61	3.04	61	310.8	1681.2	0
3	63	2.99	62.97	309.75	1728.6	0
4	2	4.03	1.98	332.4	262.2	0
4	4	4.02	3.99	332.05	310.5	0
4	6	4.04	5.95	332.55	357.5	0
4	8	4.04	7.97	332.45	406.1	0
4	10	4.02	10.01	332.1	455.1	0
4	12	4.06	12.02	333.05	503.45	0
4	14	3.98	14	331.3	551	0
4	16	4.03	15.99	332.3	598.85	0
4	18	4.04	17.98	332.6	646.75	0
4	20	4.06	19.99	332.9	695.1	0
4	22	4.03	21.99	332.3	743.3	0
4	24	4.04	23.98	332.45	791.15	0
4	26	4.06	25.98	333	839.05	0
4	28	4.06	27.99	332.85	887.45	0
4	30	3.99	29.99	331.45	935.5	0
4	32	4.03	31.98	332.3	983.4	0
4	34	4.05	33.98	332.75	1031.5	0
4	36	4.06	35.98	333.05	1079.7	0
4	38	4.02	38	332	1128.1	0
4	40	4.04	40	332.5	1176.2	0
4	42	3.99	42.01	331.5	1224.7	0
4	44	4.04	44	332.5	1272.4	0
4	46	4	45.99	331.7	1320.3	0
4	48	4.01	47.99	331.85	1368.4	0
4	50	4.02	50	332.1	1416.6	0
4	52	4.04	51.99	332.55	1464.55	0
4	54	4	53.99	331.6	1512.5	0
4	56	3.99	55.95	331.45	1559.65	0
4	58	4.01	57.98	331.95	1608.55	0
4	60	4.01	59.99	331.9	1656.9	0
4	62	3.99	61.99	331.45	1704.9	0
5	1	5.02	0.98	353.75	238	0
5	3	5.05	2.99	354.25	286.45	0
5	5	5	4.97	353.25	334	0
5	7	5.05	6.95	354.4	381.5	0
