x	y	new_x	new_y	pixel_x	pixel_y	selected
1	1	1.03	1	289.95	73.95	0
1	3	0.99	3.01	289.1	122.25	0
1	5	1	5.01	289.4	170.5	0
1	7	1.01	7.01	289.55	218.45	0
1	9	1.02	9.01	289.75	266.6	0
1	11	0.99	11.01	289.25	314.7	0
1	13	0.99	13	289.2	362.7	0
1	15	1	15	289.45	410.85	0
1	17	1.02	17	289.8	458.8	0
1	19	1.01	19	289.6	506.95	0
1	21	1	21	289.3	555.1	0
1	23	1.01	23	289.5	603.3	0
1	25	1.01	25.01	289.6	651.5	0
1	27	1.01	27	289.65	699.55	0
1	29	0.99	29	289.25	747.5	0
1	31	1	30.99	289.45	795.5	0
1	33	1.01	33	289.55	843.9	0
1	35	1.02	35	289.85	891.9	0
1	37	0.98	36.98	289.05	939.6	0
1	39	1.01	38.99	289.5	987.9	0
1	41	1	40.99	289.4	1036.15	0
1	43	1.01	43	289.65	1084.4	0
1	45	0.98	44.97	288.9	1131.9	0
1	47	0.99	46.97	289.25	1180	0
1	49	0.99	48.99	289.25	1228.5	0
1	51	1	50.98	289.5	1276.5	0
1	53	0.97	52.99	288.75	1324.65	0
1	55	0.99	54.99	289.1	1372.8	0
1	57	0.99	56.98	289.15	1420.8	0
1	59	1	58.98	289.45	1468.9	0
1	61	0.97	60.99	288.75	1517.15	0
1	63	0.98	62.98	289	1565.2	0
2	2	2.04	2	311.85	98	0
2	4	2.01	4.01	311.1	146.3	0
2	6	2.05	5.98	312.05	193.75	0
2	8	2.05	7.98	312	241.95	0
2	10	2.07	9.99	312.4	290.25	0
2	12	2.01	12.01	311.3	338.8	0
2	14	2.07	14.02	312.6	387.1	0
2	16	2.04	15.98	311.9	434.35	0
2	18	2.06	18	312.25	482.85	0
2	20	2.02	20.02	311.4	531.5	0
2	22	2.05	22.01	312.1	579.5	0
2	24	2.04	24	311.8	627.4	0
2	26	2.06	26.03	312.3	676.2	0
2	28	2	28	310.9	723.55	0
2	30	2.02	29.99	311.4	771.35	0
2	32	2.03	32	311.6	819.8	0
2	34	2.05	34	312.05	867.85	0
2	36	2.02	36	311.35	916.05	0
2	38	2.02	38.01	311.5	964.3	0
2	40	2.02	40.01	311.4	1012.4	0
2	42	2.04	42.01	311.9	1060.65	0
2	44	2	44	311.05	1108.5	0
2	46	2.01	45.99	311.2	1156.35	0
2	48	2.01	48	311.25	1204.75	0
2	50	2.02	50.01	311.4	1253	0
2	52	2.01	52.01	311.25	1301.1	0
2	54	2	53.99	311.05	1348.9	0
