x	y	new_x	new_y	pixel_x	pixel_y	selected
1	1	1.03	1	288.5	240.25	0
1	3	1.04	3	288.65	288.45	0
1	5	1	4.98	287.85	336.05	0
1	7	1.01	6.98	288.15	384.2	0
1	9	1.02	8.99	288.2	432.5	0
1	11	1.03	10.99	288.5	480.65	0
1	13	0.98	12.98	287.4	528.5	0
1	15	0.99	14.98	287.6	576.6	0
1	17	1	16.99	287.85	624.8	0
1	19	1.03	18.98	288.4	672.7	0
1	21	0.99	20.98	287.6	720.8	0
1	23	0.99	22.95	287.6	768.1	0
1	25	0.98	25.01	287.35	817.7	0
1	27	1.02	26.99	288.25	865.25	0
1	29	0.98	28.99	287.4	913.4	0
1	31	0.99	30.99	287.75	961.4	0
1	33	1	32.98	287.9	1009.4	0
1	35	1.02	34.98	288.2	1057.45	0
1	37	0.99	36.97	287.65	1105.35	0
1	39	1	38.98	287.75	1153.6	0
1	41	1.01	40.98	288.05	1201.8	0
1	43	1	42.97	287.95	1249.6	0
1	45	0.99	44.97	287.6	1297.8	0
1	47	0.98	46.98	287.45	1345.95	0
1	49	0.99	48.97	287.6	1393.85	0
1	51	1	50.98	287.9	1442.15	0
1	53	0.99	52.97	287.7	1490.15	0
1	55	0.98	54.97	287.5	1538.2	0
1	57	0.99	56.98	287.55	1586.45	0
1	59	1	58.98	287.8	1634.65	0
1	61	1.01	60.98	288.05	1682.6	0
1	63	0.98	62.98	287.4	1730.8	0
2	2	2.03	1.99	310.2	264.15	0
2	4	2.02	3.98	309.95	312.1	0
2	6	2.06	5.96	310.75	359.5	0
2	8	2.05	7.96	310.55	407.8	0
2	10	2.08	9.98	311.15	456.2	0
2	12	2.04	11.98	310.35	504.5	0
2	14	2.06	14	310.75	552.85	0
2	16	2.07	15.97	310.95	600.4	0
2	18	2.04	17.98	310.3	648.75	0
2	20	2.05	19.97	310.5	696.55	0
2	22	2.04	21.99	310.4	745.15	0
2	24	2.08	23.98	311.2	793	0
2	26	2.05	26	310.6	841.55	0
2	28	2.05	27.99	310.45	889.25	0
2	30	2.03	29.98	310.05	937.35	0
2	32	2.03	31.97	310.15	985.1	0
2	34	2.04	33.97	310.35	1033.15	0
2	36	2.07	35.98	311	1081.45	0
2	38	2.03	37.99	310.2	1129.95	0
2	40	2.04	39.99	310.3	1177.9	0
2	42	2.04	41.98	310.3	1225.85	0
2	44	2.05	43.99	310.55	1274.2	0
2	46	2	45.98	309.55	1322	0
2	48	2.02	47.99	309.9	1370.3	0
2	50	2.02	49.99	309.9	1418.4	0
2	52	2.05	51.98	310.55	1466.3	0
2	54	2	53.98	309.4	1514.25	0
2	58	2.03	58	310.1	1610.9	0
2	60	2.01	59.99	309.7	1659	0
2	62	2	61.99	309.4	1707	0
3	1	3.02	0.98	331.6	239.95	0
3	3	3.04	2.99	331.9	288.2	0
3	5	3.01	4.98	331.25	336.1	0
3	7	3.06	6.95	332.4	383.5	0
3	9	3.03	8.97	331.8	432	0
3	11	3.05	10.98	332.1	480.45	0
3	13	3.04	12.99	331.9	528.7	0
3	15	3.07	15	332.55	577.05	0
3	17	3.04	16.98	332	624.55	0
3	19	3.05	18.97	332.2	672.4	0
3	21	3.03	20.99	331.65	721.05	0
3	23	3.06	22.98	332.35	768.9	0
3	25	3.04	24.98	332.05	816.85	0
3	27	3.04	26.98	331.85	864.95	0
3	29	3.01	28.99	331.2	913.3	0
3	31	3.02	30.98	331.6	961.3	0
3	33	3.05	32.98	332.1	1009.4	0
3	35	3.05	34.98	332.05	1057.35	0
3	37	3.02	36.99	331.6	1105.75	0
3	39	3.02	38.99	331.45	1154	0
3	41	3.02	41	331.5	1202.2	0
3	43	3.03	42.99	331.8	1250.05	0
3	45	3.02	44.99	331.5	1298.1	0
3	47	3.01	47	331.3	1346.45	0
3	49	3.02	48.98	331.55	1394.2	0
3	51	3.03	50.98	331.75	1442.3	0
3	53	3.02	52.99	331.5	1490.45	0
3	55	3.01	55	331.3	1538.85	0
3	57	3.01	56.98	331.2	1586.5	0
3	59	3.02	58.99	331.6	1634.8	0
3	61	3.02	61	331.6	1683.2	0
